일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
378,1985-08-25,주일-새벽,벧후 3:11-13,,새 하늘과 새 땅은 의인의 것,"전하는 자와 같이 되어지는 듣는 자
하나님의 기적을 믿는 믿음으로 성공한 예증-순복음 중앙교회
전하는 자가 먼저 가지고 있고 전해야 할 일곱가지에 대해서
주일학생에 대해서 기도할 것, 기도할 제목
",,124호 596쪽,1985082500
379,1986-08-07,새벽집회,마 4:1-11,,,,,141호 7쪽,1986080770
380,1986-08-07,오전집회,마 4:1-11,"고후9:10.약 4:4,행2:4",,"제목: 물질보다는 하나님의 입의 말씀으로 살아라
물질을 하나님보다 높이는 것을 버리게 하시려고 여러가지 예(결혼, 산아제한)를 드시면서 설교하심
1.물질보다 하나님 말씀
2.7가지 도적질 회개
3.사람 병 고치는 법

서론
마귀가 주님을 시험한 그 방편은 전 기독자에게서도 꼭 같고 아담을 미혹한 것도 일반이다. 이에 대하여 주님이
우리를 구원하시는 그 방편도 변동없는 것으로 역사하신다.
본론
1.물질관이 바로 돼야지 경제면에 어려움이 없지 물질관이 잘못되면 경제면에 어려움이 없지 않을 수가 없다
2.물질관이 깨끗해지려면 먼저 7가지 도적질을 회개해야 하며 그와 더불어 목회자는 이성관계의 성결, 설교 결백
이 있어야 한다.
3.집회에 바는 기적은 병낫게 된 것이 큰 것이 아니고 하나님이 함께 하셨다는 거싱 큰 것이며, 순서는 첫째 기도
둘째 회개, 세째 과학이다
결론
마음이 완전치료 받는 것은 예수님의 피와 성령과 진리가 가득 차면 된다.
=========2",,141호 60쪽,1986080771
381,1986-08-07,오후집회,마 4:5-11,,,"제목: 구원과 승리 방편
서론적인 구원과 그것에 속한 여러부분을 말씀한 것과 본론적인 마귀의 시험에 대한 승리방편을 말씀하심
=====2",,141호 111쪽,1986080772
382,1986-08-08,새벽집회,마 4:8-11,,,"3가지 (물질, 권세, 소유점령)에 대한 전법을 우리에게 설명하여 남은 때를 현실 승리하게 하는 교훈 설교임
서론
마귀의 심리전
본론
물질보다 하나님 말씀, 권세는 하나님께 피동, 소유와 영광점령은 경배와 섬김으로
=======2",,141호 153쪽,1986080870
383,1986-08-08,금요일저녁,마 4:1-2,,광야로 가야 시험을 치룰 수 있다,"제목; 받은 은혜대로의 사람이 되라
집회에 역사하는 하나님의 은혜를 말씀하시고, 3가지 시험을 복습하면서 받은 은혜를 감당할 것을 교훈하심
집회행사
교회행정
시험
=====2",,141호 188쪽,1986080853
384,1986-08-10,주일-새벽,마 24:37-51,,개어 있는 자의,"제목: 깨어 있는 자의 복
1. 성도의 두 가지 생활
2. 교사가 소화시켜 학생을 가르쳐라
2.1. 엄마의 젖처럼
2.2. 사례들
2.3. 목사님의 말씀 준비는 기도
3. 말씀을 귀넘어듣지 말라
3.1. 더러운 것은 회개하라
4. 오늘 가르칠 것
4.1. 노아의 때와 재림의 때가 같다.
4.2. 깬 사람과 자는  사람
5. 깨어 있는 자의 복과 자는 자의 화
6. 학생들이 세 가지 배운 대로 살 수 있도록 가르치라.
7. 가르침의 준비는 기도이다.
2012년 10월 5일, 04, A, BW Yoon, I. ",,141호 203쪽,1986081000
385,1986-08-10,주일오전,계 12:1-17,,용과의 네 가지 전투,"1. 요한 계시록의 성격
2. 용과의 네 가지 전투
3. 하나님의 역사의 증거
4. 자살행위 하지 말라
--------- 1",,333호 221쪽,1986081001
386,1986-08-10,주일오후,계 12:7-17,,전쟁에서 승리하는 비결,"1. 네 가지 전쟁
2. 자기를 깨끗하게 하고  자유하자
",,333호 237쪽,1986081002
387,1986-08-11,월-새벽,계 12:13-17,,뱀의 유혹에 승리하는 비결,"1. 성도의 네 종류의 싸움
2. 성도의 싸움의 목적
3. 뱀의 유혹에 승리하는 비결
4. 정금같이 자기를 깨끗하게 연단하자


요지;
세상(악령, 죄, 사망)을 부인하고 신앙양심으로 싸우기를 소원하심, 일투쟁은 여인의 아들이 싸워서 이겨 하늘로
올라갔고 이차 투쟁은 천사장 미가엘이 전투해서 이겨서 쫒아냈고, 타락된 그 위치에서 다시 한층 더 쫒아냈고,
세째 투쟁은 3가지로 인해서 생명을 아끼지 않고 죽기까지 투쟁하는 것이다.

서론
1-6절: 예수님께서 승천하신 일, 7-9절은 미가엘 천사의 싸움인데 또 싸워서 이겼다
11-12절 죄,성령, 진리를 인해서 자기 생명을 아끼지 아니하고 죽기까지 싸워서 이긴 참된 성도의 승전을 나타냄
본론
1. 3가지를 위해 목숨을 내놓고 기키는 신앙위치에 있는 자에게는 악령이 침노하지 못한다.
2. 배암은 유혹을 가르쳤고 강물은 세상에 속한 모든 것이고 용에 입에서 나온 강물을 신앙양심으로  살게 되었다
결론
신앙양심을 지키고 다스릴때에 쓴 뿌리를 잘 가려내어 단체를 아끼고 감동의 능력을  받아 심판을 능해 이길 준비를 
해야 된다.
=============2",,333호 253쪽,1986081110
388,1986-08-12,화-새벽,사 63:7-14,"아8:6-7,시91:14",하나님의 진노의 흔적,"제목; 성도의 주님 사랑
주님의 사랑과 그 분의 진노하심을 알리시고 주를 사랑하는 이 사랑을 길러 주님앞에 서게 하는 감화설교임
1.주님 사랑, 주의 진노(이스라엘, 총공회)
2.주님 사랑하는 사랑을 기룰 것를 강권
========2",,141호 267쪽,1986081220
389,1986-08-13,수-새벽,행 27:9-44,"행28:1,마 23:15",환난가운데서 인간 구원을 생각,"미래적 영감, 우주의 역사는 어떤 자에 따라 움직이냐?
========

성경본문내용에 충실한 설교, 성경 봉독위주의 설교와 더불어 구원이치의 원리를 증거하신 설교. 세상의 출세와 
방편은 하나님의 지식과 정반대됨을 증거하신 설교
서론: 사도행전이란, 성령님께서 사도들을 붙드시고 역사하신 그 모든 행함을 기록하신 성경이다.
본론:
1.신구약 성경의 형식계시는 역사소개가 아니고 구원을 얻는 구원도리로 주신 것이다.
2.바울은 하나님의 천사의 미래적인 영감을 받아 이 감동을 소멸치 않고 고통속에서도 봉사했다
3.하나님의 말씀의 권면은 처음에는 배척당하나 후에는 절대 약속 이행의 말씀인 것을 믿어야 한다.
결론
사람은 죽음보다 강하고 주님과 진리를 사랑함이 자기 목숨보다 더 중해야 된다.
========2
제목:영감 순종의 사람이 되자
1. 성경을 기록해 주신 목적
2. 본문 요약
3. 복음을 전할 때 배척하는 이유
4. 성경을 자꾸 읽으라
------- 1",,141호 282쪽,1986081330
390,1986-08-13,공과,딤후 1:8-10,,하나님 다음가는 영광스러운 구원,"제목: 하나님 다음가는 영광스러운 구원
공과 해설 설교로서 먼저 읽으시고 내용을 보충하는 해설설교임
1. 11가지의 구원을 해석하심
=======2",,141호 294쪽,1986081376
391,1986-08-13,수요일저녁,딤후 1:8-10,,,"서론
공과작성의 배경
공과1대지 : 자존하신 하나님
       2      :존재 순위 둘째인 목적
      3       :예정의 순서 셋째
      4       :큰 공간 셋, 영계.물계.우주계
      5       :모든 존재의 창조와 심판
      6       :우리 구원 위한 하나님의 섭리와 그 섭리의 광대성, 오묘
                * 윤회사상
      7       :모든 존재는 우리 구원 위한 이용물
      8       :구원의 순서, 과정
      9       :자유의 세계
     10       :하늘나라의 ------
     11       :오늘은 영원, 마귀의 미혹
======2
",,141호 296쪽,1986081333
392,1986-08-14,목-새벽,행 27:22-26,,,"제목:이 세상사는 우리 현실에서 하나님의 인도를 받고 인도를 하자
미항을 떠난 사도 바울의 지중해 항해시 일어난 사건속에 숨어 있는 진리를 깨우치는 해설 설교
1.성경을 볼 때는 진리를 깨닫는데 주력
2.공과 곁들여 해석
3.지중해 항해시 사건의 진리를 깨우침
===========2",,141호 314쪽,1986081440
393,1986-08-15,금-새벽,행 27:20-26,롬12:1,,"제목; 올바른 지도의 능력
요지
바울이 영감을 입고 그레데에 있는 미항에서 과동하기를 지도했지만, 모든 사람은 성령감동의 지도의 권위성을 
몰라서 자기의 주장대로 운항했지마는 하나님이 바울로 통해 큰 낭파에서 구원의 길을 주시매 그들이 주의 종 
바울의 지도를 뉘우쳐 따르게 된다.
 서론
예수믿는 도리를 기독자가 파고 들면 성경은 다 금생과 내세의 영과 육의 자타 전부의 영원을 말씀해 놨는고로
첫째는 깨닫는 것이 중요하다.
 본론
1.모든 것을 바로 보게 해주는 이 성경의 권위성을 믿고 하나님의 섭리를 기다리니 말씀대로, 성경대로 이루어
진다는 형식계시
2.바울은 영감받아 지도를 했고, 잠시는 억압됐지마는서도 잠시후 하나님이 또 그 영감받은 대로의 현실을 주사
더욱더 말씀의 권위를 높이셨고 바울로 통해서 기적과 축복을 주신일이 되었다
 결론
우리의 금생과 내세 영육을 바로 지도하시는 이는 하나님이시요
거울인 성경, 우리 발등의 등불인 성경의 지도 하심을 받아야 한다.
===========2",,141호 331쪽,1986081550
394,1986-08-15,지권찰회,마 24:46-47,,,"요지
신앙 지도자 입장에서 주님 말씀에 "" 때를 따라 양식 나눠 준다""는 말씀과 같이 항상 정성을 다해서, 그 상대방이
 감화를 받고 하나님이 감화를 받도록 언행심사 해야된다.
서론
때 따라 양식 나눠준다는 말씀은 모든 관계에서 그 사람의 신앙에 힘을 주는 ,신덕을 끼치는 일을 말한다
본론
 1.옳고 바른 행위를 하되 상대방이 감화를 받도록 하나님이 감화 감동을 받도록 살펴서 지혜있는 자로 살아야 한다
 2.신앙지도는 예수님의 피의 대속을 품고, 영감을 품고,진리를 품은 지도라야 된다.
결론
주인되신 주님이 내하는 언행심사에 감화감동 받도록 살자.
=====================",이미 받은 은혜를 잘 감당하신 후의 교훈,141호 349쪽,1986081581
395,1986-08-15,금요일저녁,딤후 1:8-9,,,"제목; 하나님 다음가는 영광스러운 교훈
의견:하나님 다음가는 영광스러운 구원에 대한 가치를 모르는 것에 대한 안타까움을 가지시고 생각하여 가치를
찾아가지게 하는 강한 설교로 재독용으로 좋음
===========2
",,141호 353쪽,1986081553
396,1986-08-16,토-새벽,행 27:20-26,약4:9,,"요지
바울은 하나님이 주시는 현실에서 다른 모든 사람과 환경이 하나되어서 운동할 때에 그는 하나님과 하나님의
예언의 말씀과 이것을 믿는 신앙으로 하나님을 감동시켜 배안에 있는 사람 이백 칠십 육인을 다 제 사람으로 받
게 되었으며 끝까지 봉사하는 것으로 신으로  추대를 받았다.
===============================2",깨달음이 백이면 표현은 육밖에 도지 않을 정도의 말씀,141호 374쪽,1986081660
397,1986-08-17,주일-새벽,딤후 1:8-9,,,"제목; 지극히 큰 우리의 구원
지극히 큰 우리의 구원(공과)에 대한 해석과 반사들의 설교법을 말씀하심
1. 지극히 큰 우리의 구원
2. 구원(복음)의 고난과 영감
3.반사들의 설교법(깨달음을 가지고 할 것)
================2",,141호 395쪽,1986081700
398,1986-08-17,주일오전,롬 6:12-23,,법 아래 있지 않고 은혜 아래 있는 우리,"제목:  법 아래 있지 않고 은혜 아래 있는 우리
1. 중요한 단어를 잘 기억하라
2. 힘쓸 것
가. 죄로 죽을 몸에 왕노릇하지 못하게 하라
나. 몸의 사욕을 순종치 말고
다. 지체를 불의의 병기로 드리지 말고
라. 예수님 같이 하나님께 드리라
마. 의의 병기로 하나님께 드리라
3. 누리는 결과
가. 죄가 주관치 못하게 된다
나. 죄가 주관치 못하는 이유
4. 힘쓸 일
5. 죄를 지을 수 없는 우리
다. 두 종과 두 결과를 기억하라
라. 의의 종으로 드려 거룩함에 이르라

=================================
제목: 죄의 종되지 말고 하나님의 종이 되자
의견: 우리가 은혜아래 있어 죄에 자유함을 해석하시고 의를 행할 것을 교훈함 주해 설교
  1.은혜 아래 있는 우리(예수님의 대속이 있기 때문에)
  2.죄를 짓지 말고 의의 종이 되자
========2

",,141호 412쪽,1986081701
399,1986-08-17,주일오후,롬 6:12-23,,,"제목: 죄를 짓지 말자
예수 믿는 사람은 은혜아래 있는 사람임을 말씀하시고 의를 행할 것을 주해하신 설교
  1.은혜 아래 있다
  2.죄에 자유하자
  3.십계명
======2",,141호 433쪽,1986081702
400,1986-08-18,월-새벽,롬 6:14,롬6:23,,"제목: 죄를 벗고 의를 입고 살자
말씀과 교리와 실생활을 전체적으로 조명하여 증거하신 말씀
서론
 구약성경은 히브리어로 신약성경은 헬라어로 기록했으나 공통된 점은 일반서민들의 사용하는 평범한 말로 기록한 
것이다.
본론
 1.은헤는 공인데 예수님이 대속해 주신 사죄요 칭의요 화친의 공로이며, 이 대속을 당신이 신인양성일위이시므로 
사람에게도 남음이 있는 대속주가 되신다.
 2.죄의 삯은 사망이요, 하나님의 은사는 그리스도 우리 주 안에 있는 영생이다. 또한 ""죄가 너희를 주관치 못하리니""
(롬6:14) 따라서 은혜 아래 있으면 죄도 사망도 마귀도 다 이긴자가 된다.
결론
죄를 입지 말고 의로운 자로 살며, 의로운 자로 살려면 은혜안에 있는 대속을 입고 살면 된다.
==============2",,141호 455쪽,1986081810
401,1986-08-19,화-새벽,사 1:18-20,,,"제목: 죄를 청산하자
의견: 변호의 원리를 들면서 죄를 회개할 것을 강조할 것을 강하게 말씀하신 설교
   1.변호의 원리
   2.세상비리
   3.죄를 청산하자
========2",,141호 474쪽,1986081920
402,1986-08-20,수-새벽,마 24:44-47,벧후3:12,천국은 소망하고 준비하자,"두 소망의 차이
두가지 준비
준비할 것 두 가지
결심하고 살면 복이 오고 안 살면 망한다(결심해야 합니다.)
(충성되고 지혜있는 종이 되라-모든 소유를 맡기리라)
1.ㄱ. 하늘나라 실력 소망  ㄴ. 세상 실력 소망
2. ㄱ.세상 실력 준비와 사용은 이 세상에서만
    ㄴ.예수님 바라보고 준비한 것은 영원히 사용
3.ㄱ.십계명 지킴으로 죄 안 짓는 것
   ㄴ.피와 성령과 진리로 살겠다.(목사님 간증) 
=======1

제목: 죄를 끊어 버려라
의견: 절대성결위주의 설교, 하나님의 계명 지키고 난 뒤의 하나님의 축복을 위주한 설교, 목사님의 경험과 체험을 
소개하신 말씀
 서론
모든 사람이 소망을 가졌으나 기독자의 소망은 죄짓지 않고 죄와 성령과 진리대로의 재림준비를 해야 한다
본론
1. 땅위의 소망은 죽게 되면 끝이나 하늘나라의 소망은 영원한 것이며 이 소망을 위해서 두가지 준비를 해야 한다
2. 십계명말씀 순종은 복 덩어리요 말씀 양보나 배반은 화 덩어리, 지금 우리 나라에는 오계명이 괘찮은 편이다.
3.예수 잘 믿으면 처음에는  난관이지마는 결국은 하나님이 몇배 축복을 주신다.(목사님 경험)
결론
 죄를 없애는 것, 첫째는 주님께 고함으로 사함을 받고, 그래도 안되면 끊고, 뽑고, 해서라도 죄를 없애야 한다.
=======2
",,141호 493쪽,1986082030
403,1986-08-20,수요일저녁,딤전 6:17-19,,," 제목; 악을 죽이자
남을 위하는 생각 행동을 함으로 악을 죽여 심신 구원을 빨리 이루자는 교훈적인 설교
1.구원 방해 요소
2.방해 요소 죽이는 법
=======2",우리나라의 지방색말씀,141호 506쪽,1986082033
404,1986-08-21,목-새벽,딤전 6:17-19,,,"제목: 이타적 이기주의
여러가지 비유를 들어 타를 위함이 자신을 위함이 됨을 가르쳐 참되 생명을 취케 함
=======2",,141호 525쪽,1986082140
405,1986-08-22,금-새벽,마 7:7-12,,,"제목: 기도하는 사람이 되자
1. 조용기 목사님은 기도를 많이 해서 목회에 성공했다
2.항상 기도하자
3.내가 하나님에게 구할 때에 하나님이  내게 구하시는 것을 찾아 행하자
4.무엇이든지 필요한 것을 마구 기도하자
서론
자기가 세상에서 원하는 모든 것을 주님에게서 얻는 방편
본론
어떤 어려운 일에 놓였을 때에라도 항상 기도하자
결론
기도할 때에 하나님이 자기에게 구하는 것을 찾아 행한 뒤에 구하자
========2",,141호 540쪽,1986082250
406,1986-08-22,지권찰회,계 3:14-22,요일3:3;약1:5,권찰의 의무(성도의 의무),"깨끗한 사람이 되라
축복 받아 보자 작정하라
할 일 다섯 가지(성경보고, 기도, 전도, 회개, 열심히 자기 일)
",,141호 555쪽,1986082281
407,1986-08-22,금요일저녁,요일 4:18-21,"엡4:12-16,마7:22, 마10:39,요일4:19",,"제목: 악을 죽여라
서론
우리의 표준은 그리스도 예수이며, 예수님이 우리를 대속하시기 위해서 볼 수 없는 하나님이 볼 수 있는 형상으로 
오셨고, 우리는 주님의 지체 지체로서 연락하고 상합해서 주님과 같이 온전한 몸을 이루어야 한다.
본론
1.그리스도인의 원형은 예수 그리스도요 예수 그리스도의 원형은 하나님 아버지이시다 또한 예수님의 모형이 되어
지는 것이 우리의 구원이다.
2.심신의 기능이 피와 성령과 진리와 중생된 영이 하나되면 영생이요 건설구원이요 변동치 못할 완전인 것이다.
3.자기 중심을 버리고 다른 사람을 위하고, 하나님을 위하는 순차적인 순종
결론
피조물 중심위주로 살던 것을 하나님 중심 위주로 살고, 악을 죽이는 연습과 더불어 선을 행하는 일에 전심전력해야 
된다.
========2",,141호 564쪽,1986082253
408,1986-08-23,토-새벽,요일 4:16-21,요일5:1-4,,,,141호 587쪽,1986082360
409,1983-09-17,토-새벽,골 2:20-23,골3:1-11,금할 것과 힘쓸 것,"그리스도는 만유시라
죽이고 살리는 생활
세상 초등학문과 의문을 쓰지 말아야 하는 이유
성도가 힘쓸 것
그리스도직 생활
주인을 바로 구별해서 사는 자가 되자
",,333호 7쪽,1983091760
410,1983-09-18,주일오전,레 11:1-8,,신령한 이스라엘의 양식,"1. 육체 이스라엘과 신령한 이스라엘의 같은 점과 차이점
2. 신령한 이스라엘의 삶의 법칙
3. 신령한 이스라엘의 양식
4. 본문의 교훈
5. 둘로만 구별하고 반성하면서 행동하라
-------1",,97호 34쪽,1983091801
411,1983-09-18,주일오후,레 11:1-8,,쪽발과 새김질,"1. 육체의 이스라엘과 신령한 이스라엘의 양식
2. 구별할 것
3. 새 사람 자기를 찾아라
4. 두 중계자가 있음을 항상 기억하라
5. 신약의 양식
6. 쪽발과 새김질의 걸음을 걸어간 사람들
7. 새 사람으로 변화된 자로 살아라
---- 1",,333호 47쪽,1983091802
412,1983-09-19,월-새벽,전 1:2-18,전2:1-11,전도자의 교훈,"1. 원죄 아래서의 인간의 삶의 실상
2. 성도에게 있어서 과거와 현재
3. 구원에 동참한자의 놀람(마10:42,마25)
4. 영원 무궁을 위한 준비만 하라
 1) 바람을 잡으려는 것과 같은 헛 수고 하지 말라
 2) 무궁을 위한 연습만 하라
------ 1
",,222호 73쪽,1983091910
413,1983-09-20,화-새벽,골 3:2-4,,하나님 안에 감추인 생명,"1. 생명의 중요성
2. 사람 실력의 평가 기준
3. 연결된 삶을 사는 방법
4. 하나님의 말씀을 주야로 묵상하는 자가 되라
--------- 1",,222호 82쪽,1983092020
414,1983-09-20,화-새벽,행 12:1-19,,,,,97호 100쪽,1983092020
415,1983-09-23,금-새벽,마 13:1-9,,옥토에 뿌린 씨가 되는 길,"사람의 성공 가능성
옥토에 뿌린 씨가 되는 길
샛별이 떠오르기까지 말씀을 사모하라
말씀과 자기를 빼앗기지 말라
큰 원수일수록 잡으면 수입이 더 많다
기도하지 않으면 하나님이 함께해 주시지 않는다
",,333호 112쪽,1983092350
416,1983-09-23,지권찰회,요일 5:2-3,,신앙 성장의 목표,"1. 신앙성장의 목표
2.사랑의 방편은 계명을 지키는 것
3. 하나님 앞에 밉상으로 보이면 헛일이다
---------------- 1
1. 신앙의 목표
 1) 하나님을 사랑하고 사람을 사랑하는 것
 2) 예증; 불교(부처) 미신 섬기는  사람들(나무,돌, 해), 천주교가 이단인 이유(보이지 않는 사람에게 절해도 우상)
 3) 하나님을 사랑하는 방편으로 사람을 사랑함
2. 사랑하는 방편은 계명 지키는 것
 원수가 네 집안 식구니라
3. 하나님께 밉상으로 보이면 헛 일
 자식이 돈 가지고 죄만 지으니
 저 놈은 돈이 없어져야 되는데
 느브것네살
 하만
 사울
--------- 1",,222호 125쪽,1983092381
417,1983-09-23,금요일저녁,행 12:1-19,,하나님의 능력을 체험하는 법칙,"말씀의 가치를 깨닫는 자가 되자
기도에 응답하신 하나님
유익 없는 고난은 절대 안 온다.
하나님의 능력은 체험하지 못하는 이유
하나님의 능력을 체험하는 길
두 가지를 믿으라
명령 순종은 끝까지 하라",,333호 130쪽,1983092353
418,1983-09-24,토-새벽,딤후 3:12-17,마태복음 7 : 21,확고한 믿음을 가져라,"성경 말씀의 대상과 권위
기본 구원과 건설 구원과 구별의 중요성
백 목사님의 설교관(준비별)
사도행전 12장의 교훈
끝까지 구별하여 실행하라
백 목사님의 기도관
",,333호 149쪽,1983092460
419,1983-09-25,주일오전,벧전 5:6-11,,능하신 손 아래 겸손하라,"능하신 손 아래 겸손하라
모든 염려를 주께 맡껴 버려라
믿음으로 끝까지 따라가자
회개하고 끝까지 따라가자.
",,97호 173쪽,1983092501
420,1983-09-25,주일오후,벧전 5:6-14,,모든 염려를 주께 맡기라,"제목:하늘나라의 구성요소
1. 능력에 대한 올바른 지식
2. 하늘나라의 구성요소
3. 이스라엘의 뜻
4. 건설구원은 완전한 것만 이루어진다.
5. 하나님의 지식으로 단장된 나라
6. 중생된 영이 죄를 안 짓는 이유
7. 믿음과 알맹이 
8. 하나님의 충만이 전달되는 통로
9. 작정합시다",,333호 186쪽,1983092502
421,1983-09-26,월-새벽,벧전 5:7,,필연적으로 맡길 수 있는 이유,"모든 염려를 다 주께 맡겨 버려라
필연적으로 맡길 수 있는 이유
맡기는 자의 의무
목사님의 번민
",,333호 213쪽,1983092610
422,1983-09-27,화-새벽,마 24:29-51,,구원과 멸망은 항상 언제 어디서나-,"제목: 재림준비
1.문제 중에 제일 큰 문제
2. 하나님께 감동을 주는 기도를 합시다
3. 사찰 세우는 기준
4. 회개함으로 재림 준비하자
================= 1

-같이 있으므로 그 현실에서 믿음지켜 주님께 가까워지는 것으로만 구원이 된다.",,97호 235쪽,1983092720
423,1983-09-28,수-새벽,눅 21:34-38,,기도생활의 연속으로 깨어 있어라,"스스로 조심하라
술취하지 말라
깨어 있으라
기도하라
제목: 스스로 조심하라
1. 스스로 조심하라의 의미
 1)환경에 피동되지 않는 자가 되라
 2)때를 따라 양식을 나눠주는 자가 되라(마24:45)
2. 조심하지 않는 자의 결과
3. 예수님을 본 받으라
 1)가르치기와 기도에 힘쓰라
 2)새벽기도에 힘써라
4. 목사님의 신앙 단계별 기도관
5. 깨어 삽시다.
================== 1
-같이 있으므로 그 현실에서 믿음 지켜 주님께 가까워지는 것으로만 구원이 된다.
=====================
1.
악령, 이웃, 집안 식구, 방탕
2.
세상주의, 사상, 말들, 지식들, 술취하면 하나님에 대한 정신, 옳은 것, 심판, 구원에 대해서 잃어 버리게 된다
3. 
예수님의 본을 받아 깨어 기도하라
큰 소리로 - 웅을 거리며 - 마음으로 기도하되 조용한 곳을 찾아서 해라
* 하나님과 자기와의 관계, 자기와 만물과의 관계, 물질 관계를 바로 하는 사람이 되라
",목사님 본인의 초기 기도와 목회 생활의 소개로 강하게 기도하며 깨어서 살아야 할 것을 강조,97호 246쪽,1983092830
424,1983-09-28,공과,벧전 5:6-7,,,,,97호 259쪽,1983092876
425,1983-09-28,수요일저녁,벧전 5:6-7,,하나만 되는 생명길,"능하신 손아래 겸손하라
무식한 사람의 순서
생명길은 하나뿐
순종하지 않는 길
약속을 믿고 순종하는 자가 되자
순종하면 망하는 것으로 보여지는 이유는 마귀의 유혹 때문에
",,333호 261쪽,1983092833
426,1983-09-29,목-새벽,벧전 5:6-7,사49:5,때가 되면 높이시리라,"염려를 다 주께 맡겨라
능하신 손아래 겸손하라(순복하라)
제목:창조의 방편과 목적
1. 생명길로 주신 하나님의 지식
2. 세상 행락은 취하고 나면 후회만 됨
3. 구별의 기준 4가지
4. 재독설교에 대한 평가
5. 창조의 방편과 목적
6. 하나님과 같은 온전한 사람이 되자
====================== 1

2.
ㄱ.뜻을 찾아라       ㄴ.주님께 맡겨라   ㄷ.때가 되면 높이리라  (가.때는 -감당할 수 있을 때)",,333호 284쪽,1983092940
427,1983-09-30,지권찰회,요 21:15-17,,요한의 아들 시몬아,"옛사람으로 돌아가기 쉬운 우리
주와 복음을 위해서 무익한 종으로 충성해야 하는 우리
죽도록 충성하자
",,97호 316쪽,1983093081
428,1983-10-01,토-새벽,벧전 5:6-7,,능하신 손아래 겸손하라,"하나님의 목적과 인간최고의 소망
하늘나라의 실력
믿음으로 하나님 역사를 체험할 수 있다
능하신 손아래 겸손하라
모든 염려를 다 주께 맡겨 버리라
",,222호 324쪽,1983100160
429,1983-10-02,주일오전,고전 3:10-15,,기본구원과 건설구원,"건설구원과 건설구원 구분의 필요성
기본구원에 대하여
건설구원에 대하여
구원의 가치를 알고 사는 자가 되자
",,333호 356쪽,1983100201
430,1983-10-02,주일오후,엡 1:3-14,,기본구원과 건설구원에 대한 지식,"교회에 대하여 자라가라
기본구원의 순서
건설구원의 대하여
둘째 사망의 해
건설구원은 기본구원을 버리지 않고 간직하는 것
",,333호 375쪽,1983100202
431,1983-10-03,월-새벽,엡 1:6-10,,건설구원의 차이,"기본구원에 대하여
하나님이 각자에게 주신 특수한 은혜가 있다
하늘나라는 층어리가 많다
기본구원에 근거하여 사는 자가 되라
제목: 주님의 부탁
1. 웬 은혜 웬 사랑인가
2. 빠지지 않은 한가지 부탁
3. 주님의 사랑은 구하고 연구하고 체험하는 자가되라 
4. 주님의 부탁을 외면하지 말라
_______________1
",,333호 395쪽,1983100310
432,1983-10-04,화-새벽,약 4:13-17,,올바른 건설구원관,"올바른 건설구원관
죄의 종류
재요약
성도가 갖춰야 할  인격
",,333호 412쪽,1983100420
433,1983-10-05,수-새벽,약 4:13-17,,건설구원에 대한 올바른 믿음,"일반적인 성공의 통계
기본구원과 건설구원의 관계
건설구원에 대한 올바른 믿음
원수를 발견한 자의 수입
원어에 대해
",,333호 430쪽,1983100530
434,1983-10-05,수요일저녁,엡 1:9-14,,그리스도 안에서 통일된 나라,"설교의 배경
우리의 소망은 헛되지 않는다
하늘나라는 그리스도 안에서 통일된 나라
그리스도의 실력을 길러 나가자
그리스도의 형상을 완전히 갗추자
3.
 1)제사장 나라    2)선지자 나라  3) 왕의 나라",,222호 455쪽,1983100533
435,1983-10-06,목-새벽,단 6:10-13,,기도하는 자의 복,"성도가 만난 현실
묵상하는 자의 복
다니엘의 기도
기도를 시작합시다
",,97호 471쪽,1983100640
436,1983-10-07,금-새벽,요 14:13-17,,,,,97호 499쪽,1983100750
437,1983-10-07,지권찰회,약 5:16,,의인의 간구는 역사하는 힘이 많으니라,"모든 불행의 원인은 죄
의인의 간구는 역사하는 힘이 많으니라
기도록에 기록해서 기도에 힘쓰자
제목: 기도는 반드시 이루어 진다
1.모든 불행의 원인은 죄
2.기도는 반드시 이루어진다.
3.기도록에 기록하여 기도하자",,97호 515쪽,1983100781
438,1983-10-07,금요일저녁,요 14:13-15,,기도 제도를 주신 목적,"기도대상은 삼위일체 하나님
기도응답의 비밀
기도를 시작하게 된 동기
기도제도를 주신 목적
기도제목 7가지
기도록에 기록하고 도장 찍고 기도하자
",,333호 523쪽,1983100753
439,1983-08-10,새벽집회,마 7:15-27,,,,,95호 7쪽,1983081070
440,1983-08-10,오전집회,계 11:1-5,,측량대상이 되라,"1. 에덴 동산에서 지킬 것
2. 성전 밖마당은 측량하지 말라
3. 측량 대상
4. 알맹이 셋 마련하라",,95호 52쪽,1983081071
441,1983-08-10,오후집회,계 13:1-10,,순교를 소원하라,"1. 모든 우상을 버려라
2. 성전 밖마당은 측량하지 말라
3. 측량하라
4. 세상에 증거의 영햑을 끼쳐라
5. 순교와 죽음은 하나님의 권한에 달렸다
6. 순교를 소원하라",,95호 87쪽,1983081072
442,1983-08-11,새벽집회,계 13:1-10,,,,,95호 131쪽,1983081170
443,1983-08-11,오전집회,계 13:1-10,,,,,95호 190쪽,1983081171
444,1983-08-11,오후집회,계 13:11-17,,,,,95호 248쪽,1983081172
445,1983-08-12,새벽집회,계 17:11-14,,,,,95호 287쪽,1983081270
